Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x5f82c97e9b1755237692a946ae814998bc0e2124,41774002,"15,777.19",0.0218183%,0.0239927%,NA,"1,975.1889926",,EOA
0x9753dc0c13b3685833756a3cb0006d5ef3e78458,89778289,"15,695.06",0.0217047%,0.0238678%,NA,"1,964.9072186",,EOA
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,105975773,"15,552.27",0.0215072%,0.0236507%,NA,"1,947.0308762",,EOA
0x58a7ccd4bc5d561b89606909456f23bbfc9aaade,46878726,"15,545.07",0.0214973%,0.0236397%,NA,"1,946.1292202",,EOA
0xba4bd1c672f0046ecd6a10273ec77d0bb0c10073,103855886,"15,495.30",0.0214284%,0.0235640%,NA,"1,939.8990584",,EOA
0x54cc6c3e1d66155397cd428e65aff3f20fc2cabe,85807931,"15,492.83",0.0214250%,0.0235603%,NA,"1,939.5893415",,EOA
0x0f504b06bf14f9584baf9dcbb3caca645b136ba5,50358216,"15,252.43",0.0210926%,0.0231947%,NA,"1,909.4925650",,EOA
0x5475f42318884ed62be92b08058845c31c1979f4,51089046,"15,000.00",0.0207435%,0.0228108%,NA,"1,877.8906856",,EOA
0x1892b15cece1471494af00e7552693f3facc8ec8,81110045,"14,700.65",0.0203295%,0.0223556%,NA,"1,840.4147227",,EOA
0x959d7987d9d03583e801905a95624084a7f16645,50511841,"14,554.83",0.0201278%,0.0221338%,NA,"1,822.1580529",,EOA
0x65f26954f3014f4356876cb1806a56258f6965e8,84910578,"14,536.02",0.0201018%,0.0221052%,NA,"1,819.8037031",,EOA
0x792110d7bab2273b0c084d4e5a6fddb9f8cd6673,94554194,"14,199.90",0.0196370%,0.0215941%,NA,"1,777.7238099",,EOA
0x30cefa3a6b3d8295b141c279dc84012d2a7bc689,84667658,"14,081.49",0.0194733%,0.0214140%,NA,"1,762.8999906",,EOA
0xaf65c100ffeba4bc89f0d801d7662c5a6238b481,79553351,"14,067.21",0.0194535%,0.0213923%,NA,"1,761.1121251",,EOA
0xcdab32d68706f3648e7edd013ad2f38e76f71040,84496411,"13,936.20",0.0192724%,0.0211931%,NA,"1,744.7107646",,EOA
0x52997d5abc01e9bfdd29cccb183ffc60f6d6bf8c,80172401,"13,921.88",0.0192525%,0.0211713%,NA,"1,742.9175293",,EOA
0x559524b8d5af5292e4ca30b30ea3dc8261e1dea4,95627576,"13,815.72",0.0191057%,0.0210099%,NA,"1,729.6277475",,EOA
0x787b4b7ffef8eddad54f311039acf4c36fec9593,37400260,"13,722.14",0.0189763%,0.0208676%,NA,"1,717.9121139",,EOA
0x6ab880afd1e0c7786cc5d05f4fd9b17761768da8,93611220,"13,379.68",0.0185027%,0.0203468%,NA,"1,675.0379027",,EOA
0x6792c4e8a9efb4ab04e73e9b1c9bf16b7ccc74c9,84822231,"13,366.56",0.0184846%,0.0203268%,NA,"1,673.3953390",,EOA
0x117b9431a2f540c276604f3c3dd52a8fbf586860,47928045,"13,215.47",0.0182757%,0.0200971%,NA,"1,654.4805537",,EOA
0xeefd6537adbda7b1a9da3f6607dda26b048489c2,98483201,"13,208.95",0.0182666%,0.0200871%,NA,"1,653.6642634",,EOA
0xe546b43e7ff912fef7ed75d69c1d1319595f6080,40798379,"13,166.66",0.0182082%,0.0200228%,NA,"1,648.3698292",,EOA
0x5e5ffef1103717f17a9a155d0c7646ec5e16551e,84646344,"13,024.13",0.0180111%,0.0198061%,NA,"1,630.5263292",,EOA
0x6e52a3f199b9e2da6f9bce4a395cb015a0c737d9,87888449,"13,000.00",0.0179777%,0.0197694%,NA,"1,627.5052609",,EOA
0x1c494f1919c1512ebe74a5dcc17dac9a64069023,86149956,"12,931.39",0.0178828%,0.0196650%,NA,"1,618.9158334",,EOA
0xb8aa5d63491c087d40fee4311a89b1dcd74b0fdb,98563076,"12,921.14",0.0178686%,0.0196495%,NA,"1,617.6323790",,EOA
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,85189519,"12,894.23",0.0178314%,0.0196085%,NA,"1,614.2635056",,EOA
0xb020936042fbf3472b6bdb34628bcca3cf78da4c,78097436,"12,838.11",0.0177538%,0.0195232%,NA,"1,607.2372226",,EOA
0x480a1309f9bcc435be85998f54db2d440b1a892f,107336122,"12,774.00",0.0176651%,0.0194257%,NA,"1,599.2118923",,EOA
0xb13e63a5bfa4e4532f808987e374b132dc6a0e18,91633349,"12,719.10",0.0175892%,0.0193422%,NA,"1,592.3384387",,EOA
0x94c07beaec7e4d36de056a2630d17271e0acacd6,24773196,"12,684.77",0.0175417%,0.0192900%,NA,"1,588.0402234",,EOA
0xc399cb4679a5f59a6a4f00473437d0273dd5d7b4,94375930,"12,506.09",0.0172947%,0.0190183%,NA,"1,565.6713212",,EOA
0xb2467f2db0c62c9cdb7482a0a71a3f4f6f9c32a5,83238414,"12,500.01",0.0172862%,0.0190090%,NA,"1,564.9095583",,EOA
0xd762205476ea5649c689a8a703488572c8b3007d,77020318,"12,500.00",0.0172862%,0.0190090%,NA,"1,564.9089047",,EOA
0x75b94b59e59f31f1c1744396c189a4f22cc569e2,48512308,"12,500.00",0.0172862%,0.0190090%,NA,"1,564.9089047",,EOA
0xefdcea99cdb77ec4f0a474dda114a6f84a0f3823,48465494,"12,427.52",0.0171860%,0.0188988%,NA,"1,555.8349394",,EOA
0x5d2d82af3e07b5dd17b19541c4a21e51366d1a34,87757375,"12,357.71",0.0170895%,0.0187926%,NA,"1,547.0948955",,EOA
0x9824697f7c12cabada9b57842060931c48dea969,89240517,"12,250.00",0.0169405%,0.0186288%,NA,"1,533.6107266",,EOA
0x3cda08793efc7d056260886d43866d878c2630fa,84853526,"12,245.40",0.0169342%,0.0186219%,NA,"1,533.0354167",,EOA
0xa3d06aa70d505e0435de808b386d297cf347bf31,82483501,"12,178.61",0.0168418%,0.0185203%,NA,"1,524.6731083",,EOA
0x44ad5fa4d36dc37b7b83bad6ac6f373c47c3c837,86212645,"11,978.20",0.0165646%,0.0182155%,NA,"1,499.5839516",,EOA
0x7c1bbfada0e2353eeb6820c64731797f63a8e571,79045516,"11,932.68",0.0165017%,0.0181463%,NA,"1,493.8845626",,EOA
0x7736d00b07876bb87c4da13179a1535bbca163c9,78452372,"11,799.20",0.0163171%,0.0179433%,NA,"1,477.1735867",,EOA
0x140a1773d1a44393a4dc5397285b2e0ca86dff5b,87948932,"11,673.66",0.0161435%,0.0177524%,NA,"1,461.4574011",,EOA
0xe8a83b1f3ea6d27ed3837f36cbab83f43144755a,45391324,"11,466.44",0.0158569%,0.0174373%,NA,"1,435.5141414",,EOA
0x1aaf5e41c2c73617bc120097547a3410caf6718a,84323400,"11,408.57",0.0157769%,0.0173493%,NA,"1,428.2699722",,EOA
0x05a26d30ba09911bac14f38773ca44999104bd5b,96076016,"11,402.78",0.0157689%,0.0173405%,NA,"1,427.5454943",,EOA
0x5ed4a05aa8f4c057a679c340637af7790320f052,34852319,"11,400.00",0.0157650%,0.0173362%,NA,"1,427.1969211",,EOA
0xec7012d6e1037024561359c20dc818f92de56412,77314422,"11,365.30",0.0157171%,0.0172835%,NA,"1,422.8522939",,EOA
0xd5dd2d695e921bf0a8da750199397c3c33b129e6,83674495,"11,341.56",0.0156842%,0.0172474%,NA,"1,419.8803099",,EOA
0xbba2379f5cc9a2f248c5cf18ad72379ae2478f42,96371583,"11,309.72",0.0156402%,0.0171989%,NA,"1,415.8948042",,EOA
0x881DD85238ca7a71d12e6499405c9A51A25355C6,88272644,"11,221.07",0.0155176%,0.0170641%,NA,"1,404.7961998",,EOA
0x1e360bc4d5631766474d1af48e4e470c17891315,92281936,"11,182.90",0.0154648%,0.0170061%,NA,"1,400.0178465",,EOA
0x34dccfae06202d1167797870679fc1fb9ef7a523,55428873,"11,026.14",0.0152480%,0.0167677%,NA,"1,380.3923375",,EOA
0x6994ba66fd6789044c4ad43786cc16840d099c8a,85830609,"10,921.80",0.0151037%,0.0166090%,NA,"1,367.3298444",,EOA
0x432fcd67815d5cc72808a7815a02373fdee7d740,105177016,"10,686.30",0.0147781%,0.0162509%,NA,"1,337.8471014",,EOA
0x174e070920007350fa0193e0321f9bbd3984949e,100172784,"10,620.03",0.0146864%,0.0161501%,NA,"1,329.5509387",,EOA
0x510d0e4def20c6bfd84f080bc424bac5c66941f4,35736053,"10,606.98",0.0146684%,0.0161303%,NA,"1,327.9165228",,EOA
0x773743e9e4d124d7b79c98799da8c1e14f032080,89107183,"10,596.02",0.0146532%,0.0161136%,NA,"1,326.5450882",,EOA
0x9c52dc78bd84007bf63987806f0aeeece0ef14a6,84859221,"10,315.98",0.0142660%,0.0156877%,NA,"1,291.4858937",,EOA
0xc00a6614b8030ce216302016e11c6b4140b5e499,89854876,"10,280.69",0.0142172%,0.0156341%,NA,"1,287.0675969",,EOA
0xe33de5c1d7a2f91149f179bd35be4ac503d2f09f,80920968,"10,183.58",0.0140829%,0.0154864%,NA,"1,274.9104369",,EOA
0xe298378925d7ca64d45d5d0a88c2d6d85ceafd57,80317108,"10,149.58",0.0140358%,0.0154347%,NA,"1,270.6529561",,EOA
0x4693c4fc40c93193b4d9bae0a9d0b66356e71066,85570332,"10,048.03",0.0138954%,0.0152803%,NA,"1,257.9403305",,EOA
0xc5df8672232f1c2b75310e4f2b80863721705a12,106179528,"10,039.81",0.0138840%,0.0152678%,NA,"1,256.9113465",,EOA
0xa1958a37c21372482deff4618baebbec23c9a449,83707706,"10,026.46",0.0138656%,0.0152475%,NA,"1,255.2392042",,EOA
0x6980e09b44f5b59cc1c423afde8ba10200ae4535,21303975,"10,010.00",0.0138428%,0.0152224%,NA,"1,253.1790509",,EOA
0x94cca8143fa05c42804e14e290e75bf0fb26c7b8,102016134,"10,008.23",0.0138404%,0.0152197%,NA,"1,252.9579353",,EOA
0x5fb06990683e6a57ce9608702454ee55d30fb0d3,78576626,"10,000.47",0.0138296%,0.0152079%,NA,"1,251.9865214",,EOA
0xcac99e3f8c56d5508b79e0d773f08c41a15152b6,78622301,"10,000.25",0.0138293%,0.0152076%,NA,"1,251.9584219",,EOA
0x625e3b36d2a8bb362254fd6a6206b0b618ccdfb9,80642400,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0x62959c75b0ad2f02db9a458fadd2843cbb1a9e6e,82749057,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,84844213,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0x7ce549b40a68a64df72981e3146e5352aeb379c3,24702221,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0x8d309de16a745c15ffa00a46da4eb3e044c54d63,33283251,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0xe070e13c4af740a93109715b0c7c2ba7c30c4ef2,78104461,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0xe5ae5aac9a19ec43abdd161e95640a1cc12ae348,97962509,"10,000.00",0.0138290%,0.0152072%,NA,"1,251.9271237",,EOA
0xf2da8b05f3a9d20e3331326ee48d19a21842dfeb,98866717,"9,896.65",0.0136861%,0.0150501%,NA,"1,238.9884273",,EOA
0xe6fa7a5d3538ca68b2272bcf9666faf31f274815,63995001,"9,789.59",0.0135380%,0.0148872%,NA,"1,225.5851122",,EOA
0xc2f9118d721c50cf9232c45d52f4007fddef2108,82833878,"9,643.64",0.0133362%,0.0146653%,NA,"1,207.3136617",,EOA
0xe3dff97e14f3a55228ed2f614114bf6b27a7677b,81714804,"9,525.26",0.0131725%,0.0144853%,NA,"1,192.4932114",,EOA
0xd2276d87a3854ea6f4adc82c25e1f1ecb4e23f84,81305732,"9,310.99",0.0128762%,0.0141594%,NA,"1,165.6680306",,EOA
0x68deb97e36275fe189f4d9db80e53aa96b17a04c,47665049,"9,237.59",0.0127746%,0.0140478%,NA,"1,156.4785676",,EOA
0x4bf1fbc233cd6109c35a4cd9d34540173af3234c,84060375,"9,171.91",0.0126838%,0.0139479%,NA,"1,148.2557999",,EOA
0x6c8e4d6f376336871821dbe369bfe444fdd1fc99,81148939,"9,091.24",0.0125723%,0.0138252%,NA,"1,138.1570053",,EOA
0x4dec19003f9bb01a4c0d089605618b2d76dee30d,51102904,"9,081.89",0.0125593%,0.0138110%,NA,"1,136.9861892",,EOA
0xaf4f29c256437437354dc020b57ff73b223c18e6,54811509,"9,074.96",0.0125497%,0.0138005%,NA,"1,136.1184194",,EOA
0x9b52010910bbce6b2fa9a23b61551d6e365fb5e8,104478487,"9,046.88",0.0125109%,0.0137578%,NA,"1,132.6032915",,EOA
0xba0c565110f65d181b9ff1d8a9f787b52857bb0c,90186012,"9,011.08",0.0124614%,0.0137034%,NA,"1,128.1220062",,EOA
0xc6153e14a2340977ddfc8e4892a62253138461ce,49527830,"8,875.09",0.0122733%,0.0134965%,NA,"1,111.0965246",,EOA
0xc928499a080594c8854d1a46dcae5e862acc5d08,77628412,"8,861.79",0.0122550%,0.0134763%,NA,"1,109.4316181",,EOA
0x2bab943d78b02326bdb3475a202e49775c8e28c8,99716921,"8,778.50",0.0121398%,0.0133497%,NA,"1,099.0036441",,EOA
0xf4c5f7a94e70072b01eaf38bd049c25a0c6fb32b,77380112,"8,512.84",0.0117724%,0.0129457%,NA,"1,065.7449653",,EOA
0x5078c825e2f8a4408a6525d9dedf64618f149710,41293760,"8,475.94",0.0117214%,0.0128895%,NA,"1,061.1258012",,EOA
0x5b7897a5ed54642e388b9bc470912d27f18d98ce,84944110,"8,422.06",0.0116469%,0.0128076%,NA,"1,054.3807580",,EOA
0x222a227a5dc77c643e836556e573cb266998a870,62333396,"8,302.38",0.0114813%,0.0126256%,NA,"1,039.3975135",,EOA
0xb0cbcc777509b0ff315392144b0e739fb443531b,83028354,"8,288.71",0.0114624%,0.0126048%,NA,"1,037.6862290",,EOA
0xed51d70c30acbab4ca261057c4dd94f8942127de,87325398,"8,275.38",0.0114440%,0.0125845%,NA,"1,036.0169696",,EOA
0xd1ccab6b1f4606d80106b52a4415985ab78cbb93,78000661,"8,269.86",0.0114364%,0.0125762%,NA,"1,035.3262612",,EOA
0x9c19b827a3a30376dfb7607225cfeac20aed5fc9,49758428,"8,260.06",0.0114228%,0.0125613%,NA,"1,034.0997716",,EOA
0x23cb399ff19d6d01f80faf0c03a0ea2288dd7b0f,84767716,"8,245.04",0.0114021%,0.0125384%,NA,"1,032.2190659",,EOA
0x98a529e3488c2d44566881feab335b17b1c3b430,78048997,"8,214.00",0.0113591%,0.0124912%,NA,"1,028.3329394",,EOA
0x4166205758e79d3b2a169f4c9a301e1813d89668,85107447,"8,156.06",0.0112790%,0.0124031%,NA,"1,021.0790553",,EOA
0xb203df26af3666f4214661f7f903c46edf9403b0,38972967,"8,118.64",0.0112273%,0.0123462%,NA,"1,016.3944451",,EOA
0xba98f27aff0d89abca4a024af8bac9b00aa67832,82103702,"8,107.76",0.0112122%,0.0123296%,NA,"1,015.0321402",,EOA
0x72df07babcea92759602515d2065efb49475c97d,108485683,"8,098.40",0.0111993%,0.0123154%,NA,"1,013.8609508",,EOA
0x05bdf051fd2bdd05d366ee1ae4c02733c6823cc6,78813217,"8,090.62",0.0111885%,0.0123036%,NA,"1,012.8864759",,EOA
0xea4007a31d9a81c52c5a5106dfca203000e4e885,96651475,"8,071.63",0.0111622%,0.0122747%,NA,"1,010.5092275",,EOA
0x403d37c861fb54b8f37a3a1870abce335954840b,87598070,"8,066.14",0.0111547%,0.0122664%,NA,"1,009.8217895",,EOA
0x5bff1a68663ff91b0650327d83d4230cd00023ad,89351034,"8,020.75",0.0110919%,0.0121973%,NA,"1,004.1400276",,EOA
0x1ae4f1a178abfc6b7c90da19917676b82c698e4b,85525741,"8,020.00",0.0110908%,0.0121962%,NA,"1,004.0455532",,EOA
0x8a3a746b66cdb1a80a72f615bab322438c9750a0,41058585,"8,000.00",0.0110632%,0.0121658%,NA,"1,001.5416990",,EOA
0xcf92641e8463f2906f664757b8b272ec24e418cb,44793198,"7,896.88",0.0109206%,0.0120090%,NA,988.6318507,,EOA
0x4ace9dcb1cd7d64acbac8384a5c5ae40a1697380,97698729,"7,890.16",0.0109113%,0.0119987%,NA,987.7907327,,EOA
0xc219cafde6855f60da76d9cacc3873fda65516e6,84705494,"7,806.04",0.0107950%,0.0118708%,NA,977.2598888,,EOA
0x64709afad07004beb53d76ff26c5549a84f3a583,78067047,"7,784.58",0.0107653%,0.0118382%,NA,974.5725918,,EOA
0x7a8eb068b008137ad2c4f3a852c55ebce132f85d,81798149,"7,698.31",0.0106460%,0.0117070%,NA,963.7719100,,EOA
0x763c823e2bdd66538c85736b1784031fa4d993f6,84693544,"7,654.65",0.0105856%,0.0116406%,NA,958.3063766,,EOA
0x14fdbab1c203b08fae40dee74ce0736e57a18a3a,81116334,"7,574.98",0.0104754%,0.0115194%,NA,948.3320018,,EOA
0xf3a8f29ac7e30be74ab2bce0f2d537b1a86dc76d,89892167,"7,531.14",0.0104148%,0.0114528%,NA,942.8442529,,EOA
0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,88793421,"7,377.42",0.0102022%,0.0112190%,NA,923.5987116,,EOA
0xeb0cbe40c8cdfa1838a21a031edfb401eaefc651,86253785,"7,360.21",0.0101784%,0.0111928%,NA,921.4451640,,EOA
0x18829e507e072af3697ed1a33a6d8d53a86f11a9,96731993,"7,311.67",0.0101113%,0.0111190%,NA,915.3682679,,EOA
0x258a4963c983138ead92d71aeb2a8dbfc56708ca,36061483,"7,280.94",0.0100688%,0.0110723%,NA,911.5204846,,EOA
0xece1477d3c350a42486d2dc802f6243e99409a41,106889950,"7,154.80",0.0098944%,0.0108805%,NA,895.7291777,,EOA
0x4f16ca6da7f5be5afb574082108d8631cd586423,78989537,"7,152.25",0.0098908%,0.0108766%,NA,895.4091053,,EOA
0x6ff8a0b19bc1275fd7e2075d4de197eb518750fc,35941095,"7,095.69",0.0098126%,0.0107906%,NA,888.3284124,,EOA
0xf504b2bcb9125e3d5243460999668d79f38f9647,78632946,"7,026.07",0.0097163%,0.0106847%,NA,879.6128112,,EOA
0x6ce699e7b3968fd238a99f2dccf104cba99f9b9f,86243493,"6,894.72",0.0095347%,0.0104850%,NA,863.1688327,,EOA
0x2943ff6c095aa1811c8b15a0ae8fbed70b2ac589,89398023,"6,871.64",0.0095028%,0.0104499%,NA,860.2791998,,EOA
0x303f2d38ab911296deca9dc19968a854d9cbcadc,101312771,"6,794.93",0.0093967%,0.0103332%,NA,850.6761078,,EOA
0x63b4b9081e9eff9498421998913702c350f0a09c,89397712,"6,780.80",0.0093772%,0.0103117%,NA,848.9063651,,EOA
0x4b887546c27b2df2e152fd2d2dd93030706d2363,42153074,"6,744.46",0.0093269%,0.0102564%,NA,844.3569669,,EOA
0x5e926acf797e72d08e66e1f6b2cfc49200453c6d,82435102,"6,726.32",0.0093018%,0.0102289%,NA,842.0868010,,EOA
0x938898ccaf594980adfcf7235772b23b5a1e9826,83264092,"6,664.69",0.0092166%,0.0101351%,NA,834.3701907,,EOA
0xf652f5fe6a9bbd134ee069be313bdb7b37b33db7,82754380,"6,533.66",0.0090354%,0.0099359%,NA,817.9665821,,EOA
0xdf84b6941601d20e8b0a8fd787541709144e4c8e,83191765,"6,483.46",0.0089660%,0.0098595%,NA,811.6815681,,EOA
0xbf88345bb071db502391aa18fcd37ad91210d678,24766970,"6,338.61",0.0087656%,0.0096393%,NA,793.5473530,,EOA
0xd956e7142baa2533c7e54a1a2c9cd22e38273c24,86054557,"6,314.66",0.0087325%,0.0096028%,NA,790.5497435,,EOA
0xf61d6742eea5e1f29cb4b96cf7108f32424d562c,39784247,"6,302.42",0.0087156%,0.0095842%,NA,789.0176412,,EOA
0x2334ca11802c8fd6b0c11c041b1c19ffc90e7c93,20897795,"6,263.45",0.0086617%,0.0095250%,NA,784.1379316,,EOA
0x4b50ca44afc1e27f129b3060467a0284d80b618b,90043372,"6,237.77",0.0086262%,0.0094859%,NA,780.9234732,,EOA
0x1d2e5c0b1ad81544c147759aff4d064c9899571e,78268645,"6,211.24",0.0085895%,0.0094456%,NA,777.6017249,,EOA
0xf0754756e71aac7ad2b6497e7006f5e44d68d592,89132812,"6,186.59",0.0085554%,0.0094081%,NA,774.5158460,,EOA
0xbcb046ed6ff5f4ca01f2e03329399e10bfc8c58f,77146044,"6,122.58",0.0084669%,0.0093107%,NA,766.5022167,,EOA
0xcf0de3dea22ff2b1ec918c13fdc31f3874fc72e9,83123640,"6,074.85",0.0084009%,0.0092382%,NA,760.5265796,,EOA
0x72ddb9a137f969071853d11165539052a8936c78,51269444,"6,054.70",0.0083730%,0.0092075%,NA,758.0045318,,EOA
0x7e295c18fca9de63cf965cfcd3223909e1dba6af,91476712,"6,038.27",0.0083503%,0.0091825%,NA,755.9469260,,EOA
0x1dbf00bc3f40f551d79422a96367a6f58ae59412,105829500,"6,006.35",0.0083062%,0.0091340%,NA,751.9507102,,EOA
0x16c4dea391b7059203f4acec8ced70411d52bd17,82702663,"5,974.78",0.0082625%,0.0090860%,NA,747.9985017,,EOA
0x55c3d9b00eaeeca9c34b13817f0e94893b168625,85547116,"5,851.83",0.0080925%,0.0088990%,NA,732.6068002,,EOA
0xdaf93a6a56aec45f7b23aebd531177cc531133ef,86308168,"5,776.58",0.0079884%,0.0087846%,NA,723.1854112,,EOA
0x1ab3b23cee3fbbcc31c56f7e1a144961e7a7804a,84892316,"5,741.10",0.0079394%,0.0087306%,NA,718.7435044,,EOA
0x39e1c6a9517eb4709b4db48f49c7d8321da1af5a,85112494,"5,703.14",0.0078869%,0.0086729%,NA,713.9915644,,EOA
0x1819bc55d09e4a5abfc83d75e5991cc2c91b81ba,58060247,"5,619.36",0.0077710%,0.0085455%,NA,703.5033710,,EOA
0xb888f9f40f6007c06681306bba976f5e25691e1b,102020024,"5,617.24",0.0077681%,0.0085423%,NA,703.2377290,,EOA
0xaf37b91ebf3e91629462d5c6fb263acd025b12c1,82746515,"5,609.83",0.0077578%,0.0085310%,NA,702.3102294,,EOA
0xd3bf954fefc9c2203c45a4d5aa782c208b914664,37025305,"5,592.26",0.0077335%,0.0085043%,NA,700.1106301,,EOA
0x5cf5ec36d95568ce6db0c97c7811941338620664,49484754,"5,564.68",0.0076954%,0.0084623%,NA,696.6578209,,EOA
0x8f2e458791069494eaf3789a1ed8e0b69dbe8dbb,79721769,"5,540.14",0.0076615%,0.0084250%,NA,693.5854812,,EOA
0x6cb9dbf399775bb75c1b24e9928a5a14295f08d5,86641511,"5,537.67",0.0076580%,0.0084213%,NA,693.2758656,,EOA
0xc50c77dd954f6366e034da86e8f3fe9958cc6418,93622493,"5,532.44",0.0076508%,0.0084133%,NA,692.6205859,,EOA
0x53a385d47d3a011539ec377f53acb410f53ff97d,108520920,"5,457.22",0.0075468%,0.0082989%,NA,683.2046979,,EOA
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,97089016,"5,424.20",0.0075011%,0.0082487%,NA,679.0701230,,EOA
0x9174016cb020e73728bcf39d65fa153275a7a13b,102817675,"5,399.32",0.0074667%,0.0082109%,NA,675.9554475,,EOA
0xa31322446260f58338435bd519f3a00a0d158091,65963640,"5,390.34",0.0074543%,0.0081972%,NA,674.8318623,,EOA
0xb08e7985e84ffab8d0c85a56aca87819e4e35450,43004263,"5,349.42",0.0073977%,0.0081350%,NA,669.7085358,,EOA
0x5547e568705ed69440b499a2e0eb769c956fce01,87558357,"5,322.38",0.0073603%,0.0080939%,NA,666.3227286,,EOA
0x1f723a433984cd443e2d07dd2da157e24065bfc4,83519307,"5,311.78",0.0073456%,0.0080777%,NA,664.9958633,,EOA
0x3f945c994ecad81bb15e5cb8d9fb5aa7ec2fca70,56429080,"5,300.00",0.0073294%,0.0080598%,NA,663.5213756,,EOA
0x36cad6beb417dfc9e7feafb7b777437526184108,33915369,"5,265.06",0.0072810%,0.0080067%,NA,659.1467652,,EOA
0x9428b02560e91608bd9780a916d5eb89eb9a4b6d,82958008,"5,240.10",0.0072465%,0.0079687%,NA,656.0219339,,EOA
0x2a7051d7cbbef7b6889f8e14774020b1653b94c1,77346271,"5,237.33",0.0072427%,0.0079645%,NA,655.6761158,,EOA
0x550dd35691e684b2ad82af803b02cd481ba52c5a,82140834,"5,233.90",0.0072380%,0.0079593%,NA,655.2460539,,EOA
0xbbd98aa93942ea47f99e071346f7c17f287ae441,47764849,"5,200.00",0.0071911%,0.0079078%,NA,651.0022708,,EOA
0x9d9cf0a22584e3afc597c979f7b6b235510934f9,25095227,"5,193.84",0.0071826%,0.0078984%,NA,650.2309099,,EOA
0xb40e7daa5ff7c09b38f3bc485cc46bc14d635d4d,81369602,"5,151.23",0.0071236%,0.0078336%,NA,644.8963731,,EOA
0xeb1bec018d292c25c28425227587135189ba7ee9,83844336,"5,145.83",0.0071162%,0.0078254%,NA,644.2200472,,EOA
0x5bb11e08c24d83d526ea1b6019c320ce30f97d51,77932250,"5,145.46",0.0071156%,0.0078248%,NA,644.1738707,,EOA
0x87f13c2d3550f32f5eb4c3c3fea371d3c7046f20,84774216,"5,111.30",0.0070684%,0.0077729%,NA,639.8975227,,EOA
0x4e46cd691b0a159fbe5e2d08a3951a324e2fb4c0,88508729,"5,092.83",0.0070429%,0.0077448%,NA,637.5853889,,EOA
0x2775fb7e8ac8a3ab06c9bf324c5f2c568d3768df,91917558,"5,000.57",0.0069153%,0.0076045%,NA,626.0352342,,EOA
0x4a5efa846e7375a40dcd596c7c6dadb28df28ae4,47590987,"5,000.00",0.0069145%,0.0076036%,NA,625.9635619,,EOA
0xc2a49d4bcd6f1eabdea459977a3e7308e33bb22e,49302497,"5,000.00",0.0069145%,0.0076036%,NA,625.9635619,,EOA
0xc85aac62debcb68b94a2eca550f650e069bcddd1,87604158,"5,000.00",0.0069145%,0.0076036%,NA,625.9635619,,EOA
0xdee45f774fa311199c5900e7c99a609e27edcd4e,100259782,"5,000.00",0.0069145%,0.0076036%,NA,625.9635619,,EOA
0x90c0bf8d71369d21f8addf0da33d21dcb0b1c384,102857282,"4,999.28",0.0069135%,0.0076025%,NA,625.8734388,,EOA
0xfc4b2a62a06cb2e1c6a743e9ae327bb16977e4c1,101109986,"4,970.74",0.0068740%,0.0075591%,NA,622.3002849,,EOA
0xf23e1befc889ac30991762ed44fbd8ebf260419b,43506408,"4,888.89",0.0067608%,0.0074346%,NA,612.0530742,,EOA
0xed504b13a19d5104f6ff316396c792ed5428bd54,92013408,"4,858.90",0.0067194%,0.0073890%,NA,608.2990428,,EOA
0x10e11e6443904faf15cdb944f3e99c321ccc6199,83525862,"4,851.87",0.0067096%,0.0073783%,NA,607.4187160,,EOA
0x8bb4ffb2a5a7785b003a639e13544b5e9b196508,62332581,"4,833.98",0.0066849%,0.0073511%,NA,605.1784780,,EOA
0xed25349bcaceed093763b89551dde12cb1a50a75,81621683,"4,741.82",0.0065575%,0.0072110%,NA,593.6412137,,EOA
0xa51cc4578939370d3b680f145830b362585964d5,77874419,"4,654.02",0.0064360%,0.0070775%,NA,582.6495519,,EOA
