Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0xBC59a167a5A56FB07f3Cf6BD3FACe4284D8c6505,92008088,"138,201.06",0.1911180%,0.2101654%,NA,"17,301.7658340",,Contract
0xce5969ab83f70f32d477df7b92cc17fb19f25228,83086719,"137,843.97",0.1906242%,0.2096223%,NA,"17,257.0598716",,EOA
0x1d7d6598c766485dc89746fd9bda82c21df128a9,90553123,"131,746.54",0.1821921%,0.2003498%,NA,"16,493.7064122",,EOA
0x49e7bdde0e6f366fcc15577ee273af1dd0a578ba,51385552,"122,042.64",0.1687726%,0.1855929%,NA,"15,278.8496208",,EOA
0x9cd25036e52f831115c77dcf0e6db69fca56bb04,56414697,"120,641.61",0.1668351%,0.1834623%,NA,"15,103.4501009",,EOA
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,77603940,"120,000.00",0.1659478%,0.1824866%,NA,"15,023.1254850",,EOA
0x920fa53A88fA26d2658049794a84abc6185e6c69,77732674,"119,977.16",0.1659162%,0.1824519%,NA,"15,020.2662037",,EOA
0xe0a46db77fe3932a901214bfa0a1389d3e996332,108396365,"119,495.10",0.1652496%,0.1817188%,NA,"14,959.9156281",,EOA
0xc17e91dd86b427135f2694ed6a8bc86ee9d37c06,106172244,"116,130.79",0.1605971%,0.1766026%,NA,"14,538.7279733",,EOA
0x8dcb8aae4aa1143531949cb7877235749d32804a,51501247,"116,102.65",0.1605582%,0.1765598%,NA,"14,535.2061507",,EOA
0xde8aa7c820d767572837f5e43f385e98978233a4,83087251,"115,869.84",0.1602362%,0.1762058%,NA,"14,506.0598380",,EOA
0xed3b439ca1787c1cd1855151c799d520d319d80d,66039168,"111,900.00",0.1547463%,0.1701688%,NA,"14,009.0645148",,EOA
0xed8e4430689fe60bdc8a757dcf09bf12f9aff013,77565971,"110,260.50",0.1524791%,0.1676756%,NA,"13,803.8109988",,EOA
0xd87ecc7533273877fc5b945453f9dfd32cb95509,86633597,"110,128.74",0.1522969%,0.1674752%,NA,"13,787.3154102",,EOA
0xf39bc4acfbcee9c9de828416b5f060fe9f5d34f0,67670541,"107,730.80",0.1489808%,0.1638286%,NA,"13,487.1113515",,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298643,"100,423.92",0.1388761%,0.1527169%,NA,"12,572.3432880",,EOA
0x284f36888fa58a0a36b132331a26f44f86487afd,87990451,"100,000.00",0.1382899%,0.1520722%,NA,"12,519.2712375",,EOA
0xa580a81c881869cc4763968754683f764754902a,60950258,"100,000.00",0.1382899%,0.1520722%,NA,"12,519.2712375",,EOA
0x6320d43fe9939efad4d48bfcdc63c06bafc2fe3d,40433828,"99,069.00",0.1370024%,0.1506564%,NA,"12,402.7168223",,EOA
0x72d4d59f31d0cb4a4213a5dc81fc0108241ecc71,89175823,"96,330.66",0.1332155%,0.1464921%,NA,"12,059.8969721",,EOA
